School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Amherst College,Liberal Arts,"$54,500.00 ","$107,000.00 ",N/A,"$84,900.00 ","$162,000.00 ",N/A
Appalachian State University,State,"$40,400.00 ","$69,100.00 ","$37,200.00 ","$50,400.00 ","$90,800.00 ","$115,000.00 "
Arizona State University,Party,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 "
Arizona State University,State,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 "
Arkansas State University,State,"$38,700.00 ","$63,300.00 ","$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 "
Auburn University,State,"$45,400.00 ","$84,700.00 ","$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 "
Austin Peay State University,State,"$37,700.00 ","$59,200.00 ","$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 "
Ball State University,State,"$39,100.00 ","$64,500.00 ","$35,500.00 ","$48,200.00 ","$89,300.00 ","$128,000.00 "
Bates College,Liberal Arts,"$47,300.00 ","$96,500.00 ",N/A,"$60,700.00 ","$162,000.00 ",N/A
Binghamton University,State,"$53,600.00 ","$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 "
Black Hills State University,State,"$35,300.00 ","$43,900.00 ","$27,000.00 ","$32,200.00 ","$60,900.00 ","$87,600.00 "
Boise State University,State,"$40,800.00 ","$69,500.00 ","$37,400.00 ","$48,700.00 ","$87,500.00 ","$110,000.00 "
Bowdoin College,Liberal Arts,"$48,100.00 ","$107,000.00 ",N/A,"$74,600.00 ","$146,000.00 ",N/A
Bowling Green State University,State,"$39,800.00 ","$72,100.00 ","$38,200.00 ","$51,800.00 ","$101,000.00 ","$146,000.00 "
Brown University,Ivy League,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 "
Bucknell University,Liberal Arts,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 "
California Polytechnic State University at San Luis Obispo,State,"$57,200.00 ","$101,000.00 ","$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 "
California Institute of Technology,Engineering,"$75,500.00 ","$123,000.00 ",N/A,"$104,000.00 ","$161,000.00 ",N/A
California State University at Chico,State,"$47,400.00 ","$88,100.00 ","$46,800.00 ","$62,800.00 ","$122,000.00 ","$154,000.00 "
California State University-Stanislaus,State,"$38,000.00 ","$71,400.00 ","$33,700.00 ","$50,500.00 ","$94,100.00 ","$121,000.00 "
California State University-Dominguez Hills,State,"$42,700.00 ","$72,100.00 ","$30,800.00 ","$47,000.00 ","$92,200.00 ","$132,000.00 "
California State University-East Bay,State,"$49,200.00 ","$84,300.00 ","$46,000.00 ","$62,400.00 ","$115,000.00 ","$155,000.00 "
California State University at Fullerton,State,"$45,700.00 ","$87,000.00 ","$45,400.00 ","$62,500.00 ","$119,000.00 ","$158,000.00 "
California State University at Long Beach,State,"$45,100.00 ","$84,700.00 ","$47,400.00 ","$62,500.00 ","$113,000.00 ","$154,000.00 "
California State University at Northridge,State,"$45,500.00 ","$80,400.00 ","$44,500.00 ","$57,800.00 ","$108,000.00 ","$153,000.00 "
California State University at Sacramento,State,"$47,800.00 ","$82,400.00 ","$42,900.00 ","$59,600.00 ","$111,000.00 ","$154,000.00 "
Carleton College,Liberal Arts,"$47,500.00 ","$103,000.00 ",N/A,"$69,400.00 ","$141,000.00 ",N/A
Carnegie Mellon University,Engineering,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 "
Clemson University,State,"$48,400.00 ","$86,000.00 ","$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 "
Cleveland State University,State,"$43,500.00 ","$73,100.00 ","$39,500.00 ","$51,600.00 ","$97,000.00 ","$137,000.00 "
Colby College,Liberal Arts,"$46,400.00 ","$85,800.00 ",N/A,"$63,500.00 ","$129,000.00 ",N/A
Colgate University,Liberal Arts,"$52,800.00 ","$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 "
College of the Holy Cross,Liberal Arts,"$50,200.00 ","$106,000.00 ",N/A,"$65,600.00 ","$143,000.00 ",N/A
Colorado College,Liberal Arts,"$38,500.00 ","$81,400.00 ",N/A,"$43,000.00 ","$148,000.00 ",N/A
Colorado School of Mines,Engineering,"$58,100.00 ","$106,000.00 ","$62,200.00 ","$87,900.00 ","$142,000.00 ","$201,000.00 "
Colorado State University,State,"$44,800.00 ","$79,000.00 ","$43,800.00 ","$57,100.00 ","$112,000.00 ","$150,000.00 "
Columbia University,Ivy League,"$59,400.00 ","$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 "
Cooper Union,Engineering,"$62,200.00 ","$114,000.00 ",N/A,"$80,200.00 ","$142,000.00 ",N/A
Cornell University,Ivy League,"$60,300.00 ","$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 "
Dartmouth College,Ivy League,"$58,000.00 ","$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 "
Davidson College,Liberal Arts,"$46,100.00 ","$104,000.00 ",N/A,"$70,500.00 ","$146,000.00 ",N/A
Denison University,Liberal Arts,"$42,000.00 ","$83,500.00 ",N/A,"$62,100.00 ","$122,000.00 ",N/A
DePauw University,Liberal Arts,"$41,400.00 ","$88,300.00 ","$49,500.00 ","$57,400.00 ","$133,000.00 ","$185,000.00 "
East Carolina University,State,"$40,200.00 ","$67,500.00 ","$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 "
Eastern Michigan University,State,"$40,300.00 ","$72,100.00 ","$37,900.00 ","$52,800.00 ","$95,400.00 ","$135,000.00 "
Eastern Washington University,State,"$38,600.00 ","$70,900.00 ","$36,000.00 ","$50,500.00 ","$93,100.00 ","$117,000.00 "
Embry-Riddle Aeronautical University,Engineering,"$52,700.00 ","$80,700.00 ","$49,800.00 ","$64,000.00 ","$106,000.00 ","$142,000.00 "
Evergreen State College,Liberal Arts,"$39,500.00 ","$63,900.00 ","$38,800.00 ","$47,200.00 ","$91,600.00 ","$120,000.00 "
Fitchburg State College,State,"$42,400.00 ","$72,600.00 ","$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 "
Florida Atlantic University,State,"$42,600.00 ","$71,100.00 ","$40,700.00 ","$53,000.00 ","$99,500.00 ","$137,000.00 "
Florida International University,State,"$43,200.00 ","$75,500.00 ","$40,500.00 ","$55,800.00 ","$98,200.00 ","$136,000.00 "
Florida State University,Party,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 "
Florida State University,State,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 "
Fort Lewis College,Liberal Arts,"$42,000.00 ","$69,800.00 ",N/A,"$55,000.00 ","$94,000.00 ",N/A
Franklin and Marshall College,Liberal Arts,"$49,100.00 ","$92,800.00 ",N/A,"$55,800.00 ","$185,000.00 ",N/A
George Mason University,State,"$47,800.00 ","$86,900.00 ","$51,300.00 ","$67,200.00 ","$114,000.00 ","$150,000.00 "
Georgia Institute of Technology,Engineering,"$58,300.00 ","$106,000.00 ","$67,200.00 ","$85,200.00 ","$137,000.00 ","$183,000.00 "
Georgia State University,State,"$41,800.00 ","$74,000.00 ","$43,000.00 ","$55,300.00 ","$99,900.00 ","$145,000.00 "
Gettysburg College,Liberal Arts,"$44,700.00 ","$85,800.00 ",N/A,"$66,300.00 ","$132,000.00 ",N/A
Grinnell College,Liberal Arts,"$42,600.00 ","$76,600.00 ",N/A,"$65,100.00 ","$116,000.00 ",N/A
Gustavus Adolphus College,Liberal Arts,"$44,500.00 ","$80,600.00 ",N/A,"$49,300.00 ","$101,000.00 ",N/A
Hamilton College,Liberal Arts,"$49,200.00 ","$83,700.00 ",N/A,"$51,900.00 ","$123,000.00 ",N/A
Harvard University,Ivy League,"$63,400.00 ","$124,000.00 ","$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 "
Harvey Mudd College,Engineering,"$71,800.00 ","$122,000.00 ",N/A,"$96,000.00 ","$180,000.00 ",N/A
Humboldt State University,State,"$42,600.00 ","$71,300.00 ","$36,000.00 ","$56,300.00 ","$94,400.00 ","$117,000.00 "
Idaho State University,State,"$44,900.00 ","$73,400.00 ","$35,400.00 ","$49,600.00 ","$101,000.00 ","$143,000.00 "
Illinois Institute of Technology,Engineering,"$56,000.00 ","$97,800.00 ","$56,100.00 ","$77,400.00 ","$121,000.00 ","$165,000.00 "
Illinois State University,State,"$42,000.00 ","$73,400.00 ","$39,100.00 ","$55,200.00 ","$105,000.00 ","$142,000.00 "
Indiana University at Bloomington,Party,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 "
Indiana University at Bloomington,State,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 "
Iowa State University,State,"$45,400.00 ","$84,600.00 ","$44,400.00 ","$60,000.00 ","$109,000.00 ","$147,000.00 "
Juniata College,Liberal Arts,"$41,800.00 ","$78,900.00 ",N/A,"$67,200.00 ","$110,000.00 ",N/A
Kansas State University,State,"$43,300.00 ","$79,000.00 ","$37,200.00 ","$54,100.00 ","$106,000.00 ","$138,000.00 "
Kent State University,State,"$38,700.00 ","$62,600.00 ","$36,100.00 ","$45,800.00 ","$87,000.00 ","$124,000.00 "
Lafayette College,Liberal Arts,"$53,900.00 ","$107,000.00 ","$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 "
Lamar University,State,"$46,500.00 ","$79,400.00 ","$38,700.00 ","$51,600.00 ","$114,000.00 ","$158,000.00 "
Lewis & Clark College,Liberal Arts,"$38,900.00 ","$72,600.00 ","$38,200.00 ","$53,400.00 ","$104,000.00 ","$140,000.00 "
Louisiana State University,Party,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 "
Louisiana State University,State,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 "
Massachusetts Institute of Technology,Engineering,"$72,200.00 ","$126,000.00 ","$76,800.00 ","$99,200.00 ","$168,000.00 ","$220,000.00 "
Michigan State University,State,"$46,300.00 ","$85,300.00 ","$44,200.00 ","$61,500.00 ","$119,000.00 ","$170,000.00 "
Middlebury College,Liberal Arts,"$47,700.00 ","$94,200.00 ",N/A,"$69,100.00 ","$129,000.00 ",N/A
Minnesota State University at Mankato,State,"$43,300.00 ","$74,700.00 ","$39,500.00 ","$53,800.00 ","$95,700.00 ","$140,000.00 "
Mississippi State University,State,"$44,500.00 ","$79,300.00 ","$43,300.00 ","$58,800.00 ","$108,000.00 ","$151,000.00 "
Missouri State University,State,"$36,100.00 ","$69,500.00 ","$33,300.00 ","$46,900.00 ","$102,000.00 ","$134,000.00 "
Montana State University at Billings,State,"$37,900.00 ","$50,600.00 ","$22,600.00 ","$31,800.00 ","$78,500.00 ","$98,900.00 "
Montana State University at Bozeman,State,"$46,600.00 ","$77,500.00 ","$40,200.00 ","$58,100.00 ","$111,000.00 ","$151,000.00 "
Moravian College,Liberal Arts,"$42,500.00 ","$74,400.00 ",N/A,"$56,700.00 ","$94,900.00 ",N/A
Morehead State University,State,"$34,800.00 ","$60,600.00 ","$34,300.00 ","$46,500.00 ","$72,000.00 ","$91,300.00 "
Mount Holyoke College,Liberal Arts,"$42,400.00 ","$94,100.00 ",N/A,"$57,100.00 ","$131,000.00 ",N/A
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,"$51,000.00 ","$93,400.00 ",N/A,"$67,400.00 ","$123,000.00 ",N/A
New Mexico State University,State,"$44,300.00 ","$79,500.00 ","$37,400.00 ","$53,800.00 ","$102,000.00 ","$131,000.00 "
North Carolina State University,State,"$47,200.00 ","$83,300.00 ","$49,200.00 ","$64,800.00 ","$112,000.00 ","$153,000.00 "
North Dakota State University,State,"$45,100.00 ","$77,800.00 ","$39,000.00 ","$55,800.00 ","$100,000.00 ","$123,000.00 "
Northern Illinois University,State,"$43,600.00 ","$80,800.00 ","$43,900.00 ","$60,200.00 ","$111,000.00 ","$161,000.00 "
Oberlin College,Liberal Arts,"$43,400.00 ","$81,600.00 ",N/A,"$46,400.00 ","$128,000.00 ",N/A
Occidental College,Liberal Arts,"$51,900.00 ","$105,000.00 ",N/A,"$54,800.00 ","$157,000.00 ",N/A
Ohio State University,State,"$44,900.00 ","$83,700.00 ","$45,500.00 ","$60,700.00 ","$116,000.00 ","$162,000.00 "
Ohio University,Party,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Ohio University,State,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Oklahoma State University,State,"$42,800.00 ","$80,700.00 ","$40,100.00 ","$56,500.00 ","$114,000.00 ","$151,000.00 "
Oregon State University,State,"$45,100.00 ","$83,300.00 ","$46,900.00 ","$64,000.00 ","$113,000.00 ","$146,000.00 "
Pennsylvania State University-Harrisburg,State,"$45,700.00 ","$74,000.00 ","$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 "
Pennsylvania State University at University Park,Party,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
Pennsylvania State University at University Park,State,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
Pittsburg State University,State,"$40,400.00 ","$58,200.00 ","$25,600.00 ","$46,000.00 ","$84,600.00 ","$117,000.00 "
"Polytechnic University of New York, Brooklyn",Engineering,"$62,400.00 ","$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 "
Pomona College,Liberal Arts,"$48,600.00 ","$101,000.00 ",N/A,"$63,300.00 ","$161,000.00 ",N/A
Portland State University,State,"$42,600.00 ","$70,900.00 ","$40,700.00 ","$52,300.00 ","$94,400.00 ","$123,000.00 "
Princeton University,Ivy League,"$66,500.00 ","$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 "
Purdue University,State,"$51,400.00 ","$90,500.00 ","$49,900.00 ","$67,400.00 ","$121,000.00 ","$168,000.00 "
Randolph-Macon College,Party,"$42,600.00 ","$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A
Randolph-Macon College,Liberal Arts,"$42,600.00 ","$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A
Reed College,Liberal Arts,"$40,500.00 ","$81,100.00 ",N/A,"$67,400.00 ","$101,000.00 ",N/A
Rensselaer Polytechnic Institute,Engineering,"$61,100.00 ","$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 "
Rochester Institute of Technology,Engineering,"$48,900.00 ","$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 "
Rutgers University,State,"$50,300.00 ","$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 "
San Diego State University,State,"$46,200.00 ","$85,200.00 ","$45,500.00 ","$61,800.00 ","$116,000.00 ","$158,000.00 "
San Francisco State University,State,"$47,300.00 ","$86,400.00 ","$45,100.00 ","$62,700.00 ","$114,000.00 ","$150,000.00 "
San Jose State University,State,"$53,500.00 ","$95,600.00 ","$50,700.00 ","$70,500.00 ","$122,000.00 ","$156,000.00 "
Siena College,Liberal Arts,"$45,500.00 ","$85,200.00 ","$38,700.00 ","$58,400.00 ","$129,000.00 ","$189,000.00 "
Skidmore College,Liberal Arts,"$41,600.00 ","$74,600.00 ",N/A,"$42,800.00 ","$147,000.00 ",N/A
Smith College,Liberal Arts,"$44,000.00 ","$83,900.00 ","$45,100.00 ","$59,800.00 ","$129,000.00 ","$184,000.00 "
South Dakota School of Mines & Technology,Engineering,"$55,800.00 ","$93,400.00 ","$71,500.00 ","$81,900.00 ","$122,000.00 ","$147,000.00 "
South Dakota State University,State,"$41,100.00 ","$73,500.00 ","$34,100.00 ","$49,900.00 ","$99,400.00 ","$129,000.00 "
Southern Illinois University at Carbondale,State,"$43,000.00 ","$72,500.00 ","$38,300.00 ","$51,300.00 ","$99,300.00 ","$139,000.00 "
Southern Utah University,State,"$41,900.00 ","$56,500.00 ","$30,700.00 ","$39,700.00 ","$78,400.00 ","$116,000.00 "
St. Cloud State University,State,"$41,800.00 ","$71,400.00 ","$38,700.00 ","$49,400.00 ","$101,000.00 ","$126,000.00 "
St. Olaf College,Liberal Arts,"$45,300.00 ","$86,200.00 ","$41,300.00 ","$61,000.00 ","$120,000.00 ","$185,000.00 "
State University of New York at Albany,Party,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
State University of New York at Albany,State,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
State University of New York at Buffalo,State,"$46,200.00 ","$81,700.00 ","$45,900.00 ","$61,400.00 ","$110,000.00 ","$147,000.00 "
State University of New York at Farmingdale,State,"$47,300.00 ","$84,200.00 ","$50,200.00 ","$59,800.00 ","$110,000.00 ","$162,000.00 "
State University of New York at Fredonia,State,"$37,800.00 ","$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 "
State University of New York at Geneseo,State,"$42,300.00 ","$81,300.00 ","$39,300.00 ","$47,600.00 ","$117,000.00 ","$173,000.00 "
