School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
State University of New York at Oneonta,State,"$37,500.00 ","$76,700.00 ","$40,000.00 ","$54,300.00 ","$97,700.00 ","$155,000.00 "
State University of New York at Oswego,State,"$38,000.00 ","$77,800.00 ","$40,400.00 ","$53,000.00 ","$115,000.00 ","$169,000.00 "
State University of New York at Plattsburgh,State,"$40,800.00 ","$76,200.00 ","$38,400.00 ","$54,100.00 ","$105,000.00 ","$136,000.00 "
State University of New York at Potsdam,State,"$38,000.00 ","$70,300.00 ","$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 "
Stevens Institute of Technology,Engineering,"$60,600.00 ","$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 "
Stony Brook University,State,"$49,500.00 ","$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 "
Swarthmore College,Liberal Arts,"$49,700.00 ","$104,000.00 ",N/A,"$67,200.00 ","$167,000.00 ",N/A
Tarleton State University,State,"$40,800.00 ","$62,400.00 ","$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 "
Tennessee Technological University,Engineering,"$46,200.00 ","$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 "
Texas A&M University at College Station,State,"$49,700.00 ","$96,100.00 ","$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 "
Thomas Aquinas College,Liberal Arts,"$41,500.00 ","$67,500.00 ",N/A,"$44,600.00 ","$93,100.00 ",N/A
Union College,Liberal Arts,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 "
University of Akron,State,"$41,100.00 ","$70,300.00 ","$40,600.00 ","$53,300.00 ","$95,200.00 ","$127,000.00 "
University of Alabama at Birmingham,State,"$39,200.00 ","$70,100.00 ","$43,000.00 ","$53,400.00 ","$91,400.00 ","$125,000.00 "
University of Alabama at Huntsville,State,"$43,100.00 ","$82,700.00 ","$46,100.00 ","$67,800.00 ","$106,000.00 ","$132,000.00 "
University of Alabama atTuscaloosa,Party,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
University of Alabama at Tuscaloosa,State,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
University of Alaska at Anchorage,State,"$45,900.00 ","$72,600.00 ","$39,800.00 ","$56,600.00 ","$99,300.00 ","$137,000.00 "
University of Arizona,State,"$47,500.00 ","$86,100.00 ","$44,800.00 ","$61,700.00 ","$117,000.00 ","$160,000.00 "
University of Arkansas,State,"$44,100.00 ","$82,800.00 ","$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 "
University of Arkansas at Monticello,State,"$39,200.00 ","$74,500.00 ","$32,800.00 ","$46,100.00 ","$110,000.00 ","$161,000.00 "
University of California at Los Angeles,State,"$52,600.00 ","$101,000.00 ","$51,300.00 ","$72,500.00 ","$139,000.00 ","$193,000.00 "
University of California at Berkeley,State,"$59,900.00 ","$112,000.00 ","$59,500.00 ","$81,000.00 ","$149,000.00 ","$201,000.00 "
University of California at Davis,State,"$52,300.00 ","$99,600.00 ","$52,000.00 ","$71,600.00 ","$135,000.00 ","$202,000.00 "
University of California at Irvine,State,"$48,300.00 ","$96,700.00 ","$47,800.00 ","$66,000.00 ","$123,000.00 ","$172,000.00 "
University of California at Riverside,State,"$46,800.00 ","$81,300.00 ","$37,200.00 ","$59,900.00 ","$109,000.00 ","$134,000.00 "
University of California at San Diego,State,"$51,100.00 ","$101,000.00 ","$51,700.00 ","$75,400.00 ","$131,000.00 ","$177,000.00 "
University of California at Santa Barbara,Party,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
University of California at Santa Barbara,State,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
University of California at Santa Cruz,State,"$44,700.00 ","$84,100.00 ","$46,100.00 ","$62,000.00 ","$121,000.00 ","$165,000.00 "
University of Central Florida,State,"$42,600.00 ","$71,700.00 ","$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 "
University of Colorado at Boulder,State,"$47,100.00 ","$97,600.00 ","$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 "
University of Colorado at Denver,State,"$46,100.00 ","$84,400.00 ","$46,400.00 ","$58,600.00 ","$105,000.00 ","$144,000.00 "
University of Connecticut,State,"$48,000.00 ","$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 "
University of Delaware,State,"$45,900.00 ","$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 "
University of Florida,Party,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
University of Florida,State,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
University of Georgia,Party,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
University of Georgia,State,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
University of Hawaii,State,"$43,800.00 ","$76,000.00 ","$40,400.00 ","$56,300.00 ","$104,000.00 ","$128,000.00 "
University of Houston,State,"$46,000.00 ","$79,900.00 ","$42,000.00 ","$56,200.00 ","$106,000.00 ","$141,000.00 "
University of Idaho,State,"$44,900.00 ","$82,000.00 ","$43,000.00 ","$56,700.00 ","$104,000.00 ","$142,000.00 "
University of Illinois at Chicago,State,"$47,500.00 ","$81,700.00 ","$44,700.00 ","$58,800.00 ","$110,000.00 ","$146,000.00 "
University of Illinois at Urbana-Champaign,Party,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 "
University of Illinois at Urbana-Champaign,State,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 "
University of Iowa,Party,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 "
University of Iowa,State,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 "
University of Kansas,State,"$42,400.00 ","$81,600.00 ","$44,800.00 ","$57,200.00 ","$115,000.00 ","$156,000.00 "
University of Kentucky,State,"$42,800.00 ","$78,300.00 ","$43,000.00 ","$57,300.00 ","$107,000.00 ","$149,000.00 "
University of Louisiana at Lafayette,State,"$41,100.00 ","$76,300.00 ","$42,000.00 ","$54,500.00 ","$107,000.00 ","$163,000.00 "
University Of Maine,State,"$41,200.00 ","$72,100.00 ","$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 "
University of Maryland-Baltimore County,State,"$47,000.00 ","$77,800.00 ","$46,900.00 ","$59,100.00 ","$105,000.00 ","$130,000.00 "
University of Maryland at College Park,Party,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
University of Maryland at College Park,State,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
University of Massachusetts at Amherst,State,"$46,600.00 ","$88,200.00 ","$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 "
University of Massachusetts at Boston,State,"$45,600.00 ","$78,200.00 ","$36,300.00 ","$53,800.00 ","$109,000.00 ","$151,000.00 "
University of Massachusetts at Dartmouth,State,"$43,200.00 ","$77,700.00 ","$43,300.00 ","$56,200.00 ","$107,000.00 ","$132,000.00 "
University of Massachusetts at Lowell,State,"$45,400.00 ","$86,600.00 ","$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 "
University of Memphis,State,"$41,400.00 ","$69,700.00 ","$36,100.00 ","$49,100.00 ","$93,500.00 ","$127,000.00 "
University of Michigan,State,"$52,700.00 ","$93,000.00 ","$50,900.00 ","$69,400.00 ","$128,000.00 ","$182,000.00 "
University of Minnesota,State,"$46,200.00 ","$84,200.00 ","$49,000.00 ","$63,200.00 ","$112,000.00 ","$148,000.00 "
University of Mississippi,Party,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 "
University of Mississippi,State,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 "
University of Missouri at Columbia,State,"$41,700.00 ","$81,000.00 ","$43,500.00 ","$57,100.00 ","$111,000.00 ","$156,000.00 "
University of Missouri at Kansas City,State,"$38,900.00 ","$65,800.00 ","$36,300.00 ","$48,100.00 ","$95,800.00 ","$124,000.00 "
University of Missouri at Rolla,State,"$57,100.00 ","$95,800.00 ","$67,600.00 ","$80,400.00 ","$122,000.00 ","$166,000.00 "
University of Missouri at St. Louis,State,"$41,400.00 ","$67,100.00 ","$36,800.00 ","$49,600.00 ","$97,600.00 ","$144,000.00 "
University of Montana,State,"$37,300.00 ","$71,900.00 ","$37,000.00 ","$51,500.00 ","$96,400.00 ","$138,000.00 "
University of Nebraska,State,"$45,700.00 ","$80,900.00 ","$42,200.00 ","$56,600.00 ","$113,000.00 ","$156,000.00 "
University of Nebraska at Omaha,State,"$41,500.00 ","$72,600.00 ","$39,500.00 ","$54,400.00 ","$97,400.00 ","$126,000.00 "
University of Nevada at Las Vegas,State,"$45,200.00 ","$71,600.00 ","$39,000.00 ","$52,400.00 ","$100,000.00 ","$128,000.00 "
University of Nevada at Reno,State,"$46,500.00 ","$82,900.00 ","$41,900.00 ","$54,600.00 ","$113,000.00 ","$143,000.00 "
University of New Hampshire,Party,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 "
University of New Hampshire,State,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 "
University of New Mexico,State,"$41,600.00 ","$81,600.00 ","$41,800.00 ","$59,100.00 ","$105,000.00 ","$141,000.00 "
University of North Carolina at Chapel Hill,State,"$42,900.00 ","$81,500.00 ","$43,400.00 ","$57,500.00 ","$117,000.00 ","$155,000.00 "
University of North Carolina at Charlotte,State,"$43,100.00 ","$74,000.00 ","$38,200.00 ","$53,200.00 ","$99,500.00 ","$133,000.00 "
University of North Carolina at Wilmington,State,"$37,500.00 ","$64,400.00 ","$32,100.00 ","$46,600.00 ","$97,100.00 ","$129,000.00 "
University of North Dakota,State,"$44,000.00 ","$80,600.00 ","$43,400.00 ","$56,400.00 ","$111,000.00 ","$157,000.00 "
University of Oklahoma,State,"$44,700.00 ","$82,900.00 ","$41,200.00 ","$60,300.00 ","$114,000.00 ","$167,000.00 "
University of Oregon,State,"$42,200.00 ","$78,400.00 ","$38,100.00 ","$56,200.00 ","$117,000.00 ","$186,000.00 "
University of Pennsylvania,Ivy League,"$60,900.00 ","$120,000.00 ","$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 "
University of Puget Sound,Liberal Arts,"$46,600.00 ","$81,500.00 ","$48,900.00 ","$60,100.00 ","$104,000.00 ","$137,000.00 "
University of Rhode Island,State,"$43,900.00 ","$85,300.00 ","$45,400.00 ","$60,100.00 ","$112,000.00 ","$157,000.00 "
University of Richmond,Liberal Arts,"$48,600.00 ","$94,600.00 ","$44,500.00 ","$59,400.00 ","$151,000.00 ","$211,000.00 "
University of South Carolina,State,"$40,000.00 ","$71,700.00 ","$36,300.00 ","$49,900.00 ","$98,400.00 ","$131,000.00 "
University of South Florida,State,"$41,100.00 ","$71,100.00 ","$39,600.00 ","$51,500.00 ","$98,100.00 ","$131,000.00 "
University of Southern Maine,State,"$39,400.00 ","$63,600.00 ","$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 "
University of Tennessee,Party,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 "
University of Tennessee,State,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 "
University of Texas at Austin,Party,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 "
University of Texas at Austin,State,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 "
University of Texas at Arlington,State,"$45,400.00 ","$80,800.00 ","$46,400.00 ","$61,200.00 ","$106,000.00 ","$138,000.00 "
University of Texas at El Paso,State,"$43,400.00 ","$72,100.00 ","$37,700.00 ","$50,400.00 ","$99,500.00 ","$133,000.00 "
University of Texas at San Antonio,State,"$42,500.00 ","$70,700.00 ","$39,100.00 ","$49,800.00 ","$92,700.00 ","$121,000.00 "
University of Toledo,State,"$43,100.00 ","$75,900.00 ","$40,100.00 ","$54,100.00 ","$100,000.00 ","$133,000.00 "
University of Utah,State,"$45,400.00 ","$83,200.00 ","$43,000.00 ","$58,400.00 ","$116,000.00 ","$148,000.00 "
University of Vermont,State,"$44,800.00 ","$82,700.00 ","$44,700.00 ","$58,000.00 ","$122,000.00 ","$194,000.00 "
University of Virginia,State,"$52,700.00 ","$103,000.00 ","$52,200.00 ","$71,800.00 ","$146,000.00 ","$215,000.00 "
University of Washington,State,"$48,800.00 ","$85,300.00 ","$47,000.00 ","$59,800.00 ","$115,000.00 ","$149,000.00 "
University of Wisconsin at Eau Claire,State,"$41,400.00 ","$64,800.00 ","$35,000.00 ","$47,300.00 ","$93,100.00 ","$125,000.00 "
University of Wisconsin at Green Bay,State,"$35,800.00 ","$60,600.00 ","$35,500.00 ","$46,800.00 ","$81,800.00 ","$102,000.00 "
University of Wisconsin at La Crosse,State,"$42,200.00 ","$69,300.00 ","$37,500.00 ","$47,200.00 ","$93,100.00 ","$133,000.00 "
University of Wisconsin at Madison,State,"$48,900.00 ","$87,800.00 ","$47,400.00 ","$62,400.00 ","$118,000.00 ","$170,000.00 "
University of Wisconsin at Milwaukee,State,"$42,300.00 ","$74,600.00 ","$40,600.00 ","$54,000.00 ","$93,700.00 ","$123,000.00 "
University of Wisconsin at Oshkosh,State,"$39,300.00 ","$66,400.00 ","$37,700.00 ","$49,700.00 ","$90,100.00 ","$138,000.00 "
University of Wisconsin at Parkside,State,"$40,700.00 ","$71,400.00 ","$40,900.00 ","$53,100.00 ","$84,900.00 ","$119,000.00 "
University of Wisconsin at Platteville,State,"$45,800.00 ","$78,500.00 ","$48,400.00 ","$61,200.00 ","$100,000.00 ","$139,000.00 "
University of Wisconsin at Stevens Point,State,"$39,800.00 ","$64,000.00 ","$38,400.00 ","$45,100.00 ","$95,400.00 ","$128,000.00 "
University of Wisconsin at Stout,State,"$43,600.00 ","$68,300.00 ","$40,900.00 ","$50,600.00 ","$91,600.00 ","$136,000.00 "
University of Wisconsin at Whitewater,State,"$40,800.00 ","$75,500.00 ","$38,200.00 ","$53,500.00 ","$99,300.00 ","$150,000.00 "
University of Wyoming,State,"$44,500.00 ","$78,700.00 ","$41,500.00 ","$54,000.00 ","$105,000.00 ","$145,000.00 "
Ursinus College,Liberal Arts,"$42,100.00 ","$80,000.00 ","$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 "
Utah State University,State,"$43,800.00 ","$78,700.00 ","$41,600.00 ","$55,400.00 ","$101,000.00 ","$132,000.00 "
Utah Valley State College,State,"$42,400.00 ","$67,100.00 ","$27,000.00 ","$44,100.00 ","$84,900.00 ","$110,000.00 "
Vassar College,Liberal Arts,"$46,000.00 ","$94,600.00 ",N/A,"$60,600.00 ","$123,000.00 ",N/A
Virginia Commonwealth University,State,"$42,000.00 ","$68,400.00 ","$37,400.00 ","$51,900.00 ","$100,000.00 ","$123,000.00 "
Virginia Tech,Engineering,"$53,500.00 ","$95,400.00 ","$50,600.00 ","$71,400.00 ","$124,000.00 ","$163,000.00 "
Washington and Lee University,Liberal Arts,"$53,600.00 ","$104,000.00 ",N/A,"$82,800.00 ","$146,000.00 ",N/A
Washington State University,State,"$45,300.00 ","$84,700.00 ","$43,600.00 ","$59,000.00 ","$113,000.00 ","$162,000.00 "
Wayne State University,State,"$42,800.00 ","$76,100.00 ","$40,100.00 ","$56,200.00 ","$101,000.00 ","$139,000.00 "
Wellesley College,Liberal Arts,"$42,800.00 ","$83,500.00 ",N/A,"$58,600.00 ","$125,000.00 ",N/A
Wentworth Institute of Technology,Engineering,"$53,000.00 ","$96,700.00 ","$55,200.00 ","$74,000.00 ","$117,000.00 ","$153,000.00 "
Wesleyan University,Liberal Arts,"$46,500.00 ","$97,900.00 ","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 "
West Virginia University,Party,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 "
West Virginia University,State,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 "
Western Carolina University,State,"$36,900.00 ","$66,600.00 ","$39,000.00 ","$49,500.00 ","$94,400.00 ","$133,000.00 "
Western Michigan University,State,"$42,300.00 ","$73,800.00 ","$40,100.00 ","$52,500.00 ","$103,000.00 ","$135,000.00 "
Western Washington University,State,"$42,700.00 ","$75,400.00 ","$41,300.00 ","$56,700.00 ","$99,200.00 ","$119,000.00 "
Whitman College,Liberal Arts,"$43,500.00 ","$80,100.00 ",N/A,"$64,800.00 ","$111,000.00 ",N/A
Williams College,Liberal Arts,"$51,700.00 ","$102,000.00 ",N/A,"$76,400.00 ","$143,000.00 ",N/A
Wittenberg University,Liberal Arts,"$39,200.00 ","$78,200.00 ",N/A,"$54,100.00 ","$131,000.00 ",N/A
Worcester Polytechnic Institute,Engineering,"$61,000.00 ","$114,000.00 ","$80,000.00 ","$91,200.00 ","$137,000.00 ","$180,000.00 "
Yale University,Ivy League,"$59,100.00 ","$126,000.00 ","$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 "